考試標題,科目,題型,題號,題目,選項A,選項B,選項C,選項D,答案
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,20,一般公開發行公司初次申請股票上市條件，公司「獲利能力」標準之一為稅前淨利占年度決算之財 務報告所列示股本比率，最近五個會計年度均需達多少者，始合乎獲利能力標準？,6%以上,3%以上,5%以上,10%以上,B
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,21,依發行人募集與發行有價證券處理準則之規定，發行人自金管會及金管會指定之機構收到申報書件 即日起至申報生效前，除依法令發布之資訊外，下列何項敘述錯誤？,不得對特定人說明財務業務之預測性資訊,不得對不特定人說明財務業務之預測性資訊,不得發布財務業務之預測性資訊,可先向投資人推薦股票,D
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,22,有關證券投資顧問事業從業人員對於客戶申訴之處理，試問下列何項敘述為正確之作法？,申訴對象之員工，應全力配合調查；若陳述與客戶有重大不一致時，為確保其真實性，應出具所,對於客戶書面申訴案件，客戶服務相關部門應逐日詳細記載，但口頭的申訴案件則不需要,主管應指派資深同仁保管上述檔案紀錄，且至少每月一次交由部門主管及督察主管核閱,申訴案件應由資淺員工調查處理，才不致有偏袒發生，且該員工不得為申訴案件中的申訴對象,A
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,23,有關公開收購之條件，下列敘述何者錯誤？,公開收購開始後不得調降公開收購價格,公開收購人得依對象不同以不同收購條件為公開收購,公開收購開始後，不得降低預定公開收購有價證券之數量,公開收購開始後，公開收購人不得於集中交易市場或證券商營業處所，或其他任何場所購買同種,B
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,24,證券交易「歸入權」之行使係針對下列何項行為？,內線交易行為,短線交易行為,製作不實財務報告,人為炒作股票違法行為,B
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,25,在下列何種情況下，公司依法應重編財務報告，並重行公告？,更正損益金額在原決算營業收入淨額百分之一以上者,更正綜合損益金額在新臺幣一千萬元以上者，且達原決算營業收入淨額百分之一者,更正損益金額在實收資本額百分之五以上,更正損益金額在新臺幣一千萬元以上者,B
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,26,公開說明書應記載之主要內容有虛偽或隱匿之情事者，對於善意之相對人因而所受之損害，下列哪 些人員，應就其所應負責部分與公司負連帶賠償責任？,該有價證券之證券承銷商,發行人及其負責人,三者皆須負連帶賠償責任,以上,D
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,27,依我國現行證券交易法規定，對於有價證券之公開募集及發行，除政府債券或經主管機關核定之其 他有價證券外，應經何種程序始得為之？,向主管機關事後報備制,兼採向主管機關申報生效制及申請核准制,向主管機關申報生效制,向主管機關申報核准制,C
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,選擇題,28,有關證券投資信託事業所募集之基金，其運用基金資產下列何項敘述不正確？,不得投資於未上市、未上櫃股票或私募之有價證券,不得投資於本證券投資信託事業或與本證券投資信託事業有利害關係之公司所發行之證券,每一基金投資於任一上市或上櫃公司股票之股份總額，不得超過該公司已發行股份總數之,不得運用基金買入本基金之受益憑證。但經受益人請求買回或因基金全部或一部不再存續而收回,C
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,1,甲公司申請上市時，在公開說明書所附之財務報表內，存有不實的現金科目，造成其主要內容虛偽 不實。上市一年後，甲公司發生財務危機，公司支票未兌現達新臺幣一億元，甲公司股票暴跌，甲 公司之投資人乙損失不貲，但甲公司負責人均避走海外，不知去向，股東投訴無門。乙乃控告甲公 司及其簽證會計師丙，請求損害賠償。試問：（10 分） (1)甲公司應否負賠償責任？ (2)會計師丙在何種情況下，可行使證券交易法上之免責抗辯？,,,,,
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,2,有關公司行使「歸入權」之規定，請依「證券交易法」及「公司法」之相關規定分別說明之。 （10分）,,,,,
111 年第 1 次證券投資分析人員資格測驗試題,證券交易相關法規與實務,申論題,3,試說明證券投資信託事業「共同基金」與「ETF（指數股票型基金）」之主要區別？（10分） 111 年第 1 次,,,,,
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,1,可轉換公司債之債權人於執行轉換權利時，對公司之影響為：甲.資產不變；乙.股本增加；丙.有盈餘稀 釋效果；丁.負債不變,僅甲、乙、丙對,僅甲、乙、丁對,僅甲、丙、丁對,僅乙、丙、丁對,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,2,建構投資組合的步驟依由上而下策略順序應該為：甲.設定資產配置；乙.根據投資人目標與限制決定投 資策略；丙.選擇投資標的,甲、乙、丙,乙、丙、甲,乙、甲、丙,丙、乙、甲,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,3,股價指數期貨之契約規格中，其交割方式為何？,股票指數交割,指數交割,現金交割,股票交割,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,4,下列哪些事件會使公司新發行之長期債券的票面利率提高？甲.政府打算在未來六年中發行大量的公 債，籌措開辦國民年金所需要的部分資金；乙.公司的債券可被轉換成為普通股；丙.經濟不景氣即將來 臨，投資人對債券需求增加；丁.公司宣稱，最近打算投資十億元在中國大陸設廠,僅甲、乙,僅丙、丁,僅甲、丁,僅甲、丙、丁,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,5,組合型基金和平衡型基金的比較，正確的有：甲.皆可隨景氣變化調整投資於股債市的比率；乙.皆屬於被 動式的管理方式；丙.平衡型基金直接投資股票或債券；丁.組合型基金以投資基金的方式間接投資於股債 市,僅丙、丁對,僅甲、丙、丁對,僅乙、丙、丁對,甲、乙、丙、丁均對,B
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,6,"臺灣證券交易所股價指數期貨(臺股期貨)原始保證金為$90,000，維持保證金$69,000。投資者存入保證 金$90,000，賣出1口臺股期貨，價位為8,000。請問臺指期貨漲至8,200時，則投資人應補繳多少保證 金 (不考慮手續費與稅) ？","$40,000","$19,000","$10,000",不必補繳保證金,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,7,如果你相信市場短期是沒有效率的，精明的基金經理人最好應該採取：,避險基金(Hedge Fund)常用的策略,買進臺灣ETF,投資馬可維茲效率前緣組合,長期投資,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,8,如果手上有甲股票，下面何種搭配操作方式可以消除甲股股價下跌的風險，但又能確保上漲的獲利？,買進國庫債券,放空甲股期貨,買進甲股Call,買進甲股Put,D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,9,所謂Smart Beta策略之描述下列何者為非？,透過人工智慧方式來建構的投資方式,捕獲風險溢價或因子來獲取更高報酬,有時採取非市值加權方式建構投資組合,立基於規則、透明，趨向低費率和成本的投資方式,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,10,在Black-Scholes選擇權定價公式中，如果標的股票的變異數增加，則：,買權(Call Option)的價格增加，賣權(Put Option)的價格減少,買權的價格減少，賣權的價格增,買權和賣權的價格都增加,買權和賣權的價格都減少,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,11,關於投資者風險態度的敘述中，何者錯誤？甲.投資高風險資產的投資者是風險愛好者；乙.信仰「高風 險、高報酬」者是風險規避者；丙.風險中立者當風險增加時，其所要求的邊際報酬率會不變；丁.風險 規避者在風險增加時，其所要求的邊際報酬率會減少,甲、乙,甲、丙,甲、丁,乙、丁,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,12,"一個剛發行的5年期債券，面額$100,000，票面利率10%，每半年付息一次，發行時殖利率為8%，發 行價格為$108,111。若殖利率維持不變，試計算該債券半年後的價格約為多少？","$106,760","$107,435","$111,760","$112,435",B
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,13,"某公司即將發行公司債籌措資金，每一張公司債承諾從第3年年底開始，每年支付$5,000債息直到永 遠。假設投資人要求報酬率為5%，試計算該債券買賣雙方可接受的公平價格？","$86,384","$90,703","$95,238","$100,000",B
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,14,某投資人以每股市價$184買進Z公司股票，預期Z公司每年將60%的盈餘保留下來，做為再投資用， 並賺取25%的報酬，直到永遠。昨日剛公告去年每股盈餘為$10，試計算投資人對該股票要求年報酬率 為多少？,12.5%,15.98%,17.17%,17.5%,D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,15,某公司即將發行一檔兩年期，保本率為95%的零息保本型債券。除了保本部分之外，投資人在到期時還 可獲得債券面額乘上加權股價指數在此兩年期間之成長率(若成長率小於零，則以零計)。假設此債券所 含之選擇權的價值相當於債券面額的12.87%，而該公司兩年期債券的資金成本等於6%。若該公司欲以 平價發行此保本型債券，其參與率必須訂在多少？,81%,85%,100%,120%,D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,16,某公司目前在市場上發行的五年期固定利率債券的殖利率為3.75%，而該公司所能取得的五年期利率交 換報價為2.75% / 2.85% (買價/賣價)。假設該公司計劃發行一檔五年期的浮動利率債券，其風險加碼將 會在何水準？,0.9%,0.95%,1%,1.1%,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,17,"你將在兩年後從某零息債券收到面額$100,000，該債劵殖利率為7%。如果在往後數年中，通貨膨脹率 預計皆為2%。若以今天的幣值來表示，這$100,000報償的實質價值(Real Value)為多少？","$87,344","$90,873","$93,458","$96,117",D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,18,"債券投資組合包含X和Y兩債券，其修正存續期間(Modified Duration)分別為4和2，以及其價格存續 期間(Dollar Duration)分別為$4,000和$3,000，試計算此債券組合的修正存續期間約為多少？",2.80,3.00,3.14,3.33,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,19,某公司預計發行債券取得5億的資金，發行設計是採取同時發行浮動利率債券和反浮動利率債券，兩種 債券的票面利率分別為(指標利率)＋1%及16%－1.5 × (指標利率)。假設該公司希望每期的債息支出為 固定，試問如此設計相當於該公司發行票面利率為多少的固定利率債券？,7%,8.5%,9.2%,10%,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,20,上櫃股票W期望報酬率是16%，某投資人融資買進股票W六千股，融資成數5成，融資利率為固定利 率6%，試計算該投資組合之期望報酬率約為多少(假設證券商手續費率、證券交易稅率均為0%)？,16%,20%,26%,32%,C
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,21,某個履約價格為$110的認購權證，其價格為$1.23，該權證標的股票價格為$98。假設無風險利率等於0， 試在相同條件下，求算認售權證之理論價格為多少？,$9.54,$10.77,$12.00,$13.23,D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,22,市場處於均衡狀態時，市場投資組合期望報酬率為11%，報酬率標準差為25%，無風險利率為1%。若 某共同基金的報酬率標準差為10%，又該共同基金位於資本市場線(Capital Market Line)，可預期該共同 基金的夏普指數(Sharpe’s Index)為多少？,0.2,0.4,0.5,1.0,B
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,23,"今日，1美元的即期匯率 = NT$28，新臺幣一年期利率2%，美元一年期利率4%，試計算符合利率平價 (Interest Rate Parity, IRP)條件之90天期美元遠期匯率應約為多少(假設一年為360天)？",NT$27.4615,NT$27.8614,NT$28.1393,NT$28.5490,B
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,24,"某上市公司向日本購買零件，因而在1年後需要100萬日圓。預期日本的年通貨膨脹率為10%，臺灣為 4.5%。日圓的即期匯率為NT$0.3，且存在下述日圓買權：1年後到期，履約價NT$0.29，權利金每單位 NT$0.03。若該公司相信購買力平價(Purchasing Power Parity, PPP)理論並使用日圓買權避險，試問預期 將支付的新臺幣金額為多少？","NT$290,000","NT$315,000","NT$320,000","NT$346,500",B
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,25,在資本資產定價模式中，設無風險利率1%，市場投資組合期望報酬11%，某公司股票報酬率變異數 0.16，股票報酬率與市場投資報酬率的共變異數(Covariance)等於0.108，市場投資組合報酬率變異數 0.09，則該公司股票期望報酬率為多少？,7.8%,10%,10.9%,13%,D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,26,假設有兩種發生機率相等可能的景氣情境：蕭條和繁榮。投資股票J，於蕭條期間報酬率為-10%，繁榮 期間報酬率為18%；以及投資債券K，於蕭條期間報酬率為5%，繁榮期間報酬率為-2%。若將資金的 60%投資於股票J、40%投資於債券K，試計算此投資組合的報酬率標準差約為多少？,7%,8%,8.52%,9.8%,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,27,某投資人想使用元大台灣50 ETF (0050)與元大高股息ETF (0056)，構建一個期望報酬率為10.8%的投資 組合。元大台灣50 ETF的β值為1.1，元大高股息ETF的β值為0.8。設無風險利率為1%，市場投資 組合期望報酬率為11%。這個由ETF所組成之投資組合，其配置於元大台灣50 ETF的比重約為多少？,30%,40%,50%,60%,D
111 年第 1 次證券投資分析人員資格測驗試題,投資學,選擇題,28,投資人持有一個市場價值500萬元之股票投資組合，其β值為0.9。若該投資人預期這投資組合市場價 值於次年底將成長6%。設無風險利率為1%，市場投資組合期望報酬率為11%。依據資本資產定價模 式，該投資人可預期次年約收到多少現金股利？,20萬元,24.5萬元,25萬元,30萬元,A
111 年第 1 次證券投資分析人員資格測驗試題,投資學,申論題,1,試回答下列有關債券風險的問題： (1)某公司剛發行以下三種公司債，到期期限皆為兩年： 債券甲：票面利率＝10%，每年付息 債券乙：票面利率＝指標利率＋4.5%，每年付息並重設利率 債券丙：票面利率＝15.5%－指標利率，每年付息並重設利率 假設三種債券的百元報價均等於$100，其各自的存續期間是多少？(6分) (2)一個兩年期零息公司債目前的殖利率為 10%，而相同期限零息公債的殖利率為 5%。在違約損失率 (Loss Given Default)為 40%的情況下，試計算該公司債在兩年內發生違約機率(Probability of Default) 約為多少？(4分),,,,,
111 年第 1 次證券投資分析人員資格測驗試題,投資學,申論題,2,金融商品 E的期望報酬率與報酬率標準差分別是 10%和20%，以及金融商品 F的期望報酬率與報酬率 標準差分別是 5%和30%，若兩金融商品報酬率相關係數 ρ = +1，試計算： (1)若某段期間金融商品 E 的報酬率為2%，試計算相同期間金融商品 F的報酬率應為多少？(6分) (2)現在利用金融商品 E和金融商品 F組成一個報酬率標準差最小的投資組合，試問該投資組合之期望 報酬率為多少？(4分),,,,,
111 年第 1 次證券投資分析人員資格測驗試題,投資學,申論題,3,"某投資者持有股票 G和股票 H，股票G的市場價值 100萬、β 值0.5、報酬率標準差 30%，股票H的 市場價值 400萬、β 值1.5、報酬率標準差40%。市場投資組合的報酬率標準差 20%。 (1)在單因子市場模式(Market Model)假設下，試計算該股票投資組合之報酬率標準差為多少？(6分) (2)該投資人害怕短期間內，因股市大跌造成其所持有之股票投資組合市場價值大幅下滑，故進一步賣 出6口近月小型臺指期貨(代號MTX)進行避險，該指數期貨目前為 17,500 點。試問在如此操作後， 該投資組合之β 值為多少(不考慮稅、保證金和交易成本)？(4 分) 111 年第 1 次",,,,,
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,1,"某公司發行面額$100,000，利率7%，五年期、每半年付息一次之公司債，發行日之市場利率為 6.5%， 則公司收到的現金將：","大於$100,000","小於$100,000","等於$100,000",不一定,A
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,2,天天公司預計下一年度將發放每股股利6元，且假設天天公司未來的股利成長率固定為 3%。若天天 公司股票的預期報酬率為 11%，則天天公司目前股票之評價結果應為多少元？,$42.12,$26.33,$75.00,$33.53,C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,3,"某公司當年度的淨賒銷與銷貨成本分別為$3,900,000 與$3,000,000；期初與期末應收帳款分別為 $600,000與$700,000。試問應收帳款週轉率為：",5.6次,6.5次,4.6 次,6次,D
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,4,下列關於金融工具風險的敘述何者正確？,信用風險係指企業無法籌措資金以履行合約義務之風險,利率變動之現金流量風險係指市場利率變動而使金融工具之未來現金流量產生波動之風險,價格風險係指市場利率變動而使金融工具產生價值波動之風險,流動性風險係指因交易對方或他方未能履行合約義務而導致企業發生損失之風險,B
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,5,影響銷貨毛利變動的因素為：,產品售價變動,銷售量變動,成本因素變動,以上皆是,D
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,6,理論上，下列何者為專案選擇的最佳準則？,淨現值,還本期限,會計報酬率,資產報酬率,A
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,7,下列何者無法使資產報酬率提高？,增加銷貨毛利,提高淨利率,降低不動產、廠房及設備對長期資金比率,提高總資產週轉率,C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,8,"佳餘公司採年數合計法計提折舊，該公司於 X0 年初購進機器一部，估計殘值為成本的十分之一， 已知該機器於X2年底提列折舊$90,000，X4年底提列折舊$60,000。試問該機器的成本？","$640,000","$620,000","$600,000","$580,000",C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,9,下列哪一項能夠正確說明折舊費用如何顯示在現金流量表上？,直接法：加在淨利上；間接法：未顯示,直接法：未顯示；間接法：加在淨利上,直接法：未顯示；間接法：未顯示,直接法：未顯示；間接法：自淨利處扣除,B
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,10,依據 IAS 24「關係人揭露」，編製合併報表時母公司與子公司間已消除之交易事項：,於「關係人交易」之附註，不須揭露,於「關係人交易」之附註，仍須予以揭露,若未達企業當期交易總額或餘額 5%時，於「關係人交易」之附註，得不予揭露,若未達企業當期交易總額或餘額 10%時，於「關係人交易」之附註，得不予揭露,A
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,11,"某公司因故延遲至X6年 12月31日發行 10年期，利率 12%，面額$100,000 的公司債，每年於5 月 31日及11 月30日分兩期付利息，債券依『100』價格於當日售完，則債券發行分錄包含：","借記現金$106,000","貸記應付債券$101,000","貸記應付利息$1,000","借記應付利息$1,000",C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,12,依據2018年版「財務報導之觀念架構」，下列關於「資產」定義之敘述何者錯誤？,係因過去事項而由個體所控制之現時經濟資源,經濟資源係聚焦於權利，而非資產實體物品本身,由此資源預期未來很有可能產生經濟效益流入個體,若個體具有主導經濟資源之使用並取得可能自其流入之經濟效益之現時能力，則個體控制該經,C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,13,"甲公司以寄銷方式委請乙公司代售商品，其售價為成本加計 25%，X3年 12月29日甲公司將一批寄 銷品運送給乙公司，並立即認列銷貨收入$180,000，且未將該批商品列入 X3 年期末存貨。若乙公 司於X4年1月6日始將該批商品出售，則下列有關甲公司X3年度財務報表之敘述何者正確？","應收帳款高估$180,000；期末存貨低估$135,000；稅前淨利高估$45,000","銷貨收入高估$180,000；期末存貨低估$144,000；稅前淨利高估$36,000","應收帳款高估$180,000；期末存貨高估$135,000","期末存貨與稅前淨利皆低估$150,000",B
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,14,甲公司於X1年1月1日購入一部機器，其耐用年限為 4年，殘值為成本之 15%，則在X1 年及X2 年，採用使用年數合計法的折舊費用金額會比採用倍數餘額遞減法的折舊費用金額高或低？ X1 年 X2年,高 高,低 低,低 高,高 低,C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,15,"甲公司於X1年1月1日以$1,330,000(不含交易成本$2,860)發行可買回公司債，甲公司得自 X3年 1 月1日起，以$1,350,000(另加應計利息)買回該公司債。發行時經評價之結果，公司債中嵌入式之買 回權資產的公允價值為$50,000。甲公司判定買回權與公司債兩者經濟特性及風險並未緊密關聯，因 此決定單獨認列嵌入衍生工具，並對公司債採用攤銷後成本法。則甲公司於 X1年1月1日認列應 付公司債之帳面金額為何？","$1,277,140","$1,327,140","$1,377,140","$1,377,240",D
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,16,"甲公司於X1年初因進貨而簽發一張三年期的零利率應付票據$10,000給供應商，當時同類債券的市 場殖利率為8%。甲公司在 X1年度的財務報表上，將此交易認列為應付票據$10,000及當期進貨 $10,000，甲公司存貨計價方法採用先進先出法，該批商品於 X1年度已全數售出。試問甲公司此會 計處理方式，會分別對於其 X1、X2、X3 年度的淨利，以及 X3年底保留盈餘之餘額產生何種影響？",低估、高估、高估，無影響,低估、高估、高估、高估,低估、低估、低估、低估,高估、低估、低估、無影響,A
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,17,"甲公司之董事會於X1年 10月16日決議辦理現金增資，保留供員工認購股數為 2,000,000股，每股 面額$10，認購價格為每股$40，當日股票市價為每股$50。甲公司已於該日通知員工得認購之數量與 價格。增資基準日訂為 X1年11月24日。甲公司採選擇權定價模式估計所給與認購新股權利之給 與日每單位公允價值為$10.05，員工繳款截止日為 X1年11月15日。截至 X1年11月15日員工共 認購1,800,000股。公司現金增資最終仍完成。有關該筆股份基礎給付交易之結果，對甲公司權益之 變動，下列敘述何者正確？","權益增加$92,100,000","保留盈餘減少$18,090,000","資本公積增加$74,100,000","權益增加$72,000,000",D
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,18,"甲公司於X1年1月1日以每股$40發行普通股 100,000 股，每股面額$10。X2年12月31日以每股 $50買回10,000股股票(庫藏股)。X3年6月30日以每股$45出售5,000股庫藏股。試問：X3年6 月30日出售5,000股庫藏股之影響為何？",權益總額增加、資產總額增加,權益總額減少、資產總額增加,權益總額減少、資產總額減少,權益總額增加、負債比率上升,A
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,19,甲公司的本益比為12倍，股東權益報酬率為 13%，則市價淨值比為何？,0.93,1.11,1.56,1.64,C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,20,"甲公司X1年度財務報表之相關資訊如下：銷貨淨額為 $1,200,000，銷貨成本為 $600,000，營業費 用為銷貨淨額的25%，營業外損失為銷貨淨額的 2%，利息費用為銷貨淨額的 3%，所得稅率為20%， 則下列敘述何者正確？",銷貨成本率為40%，營業淨利率為 30%,營業淨利率為24%，稅前息前淨利率為 34%,稅前淨利率為35%，營業淨利率為 25%,稅前淨利率為20%，稅前息前淨利率為 23%,D
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,21,"甲公司X1年初向乙公司承租一輛汽車，租期6年，租金於每年年底支付。X6年底甲公司此項租賃 相關科目餘額如下： 使用權資產 $670,000 累計折舊―使用權資產 670,000 租賃負債 70,000 試問下列敘述何者最為可能？","租約期滿甲公司將以$70,000購買該輛汽車","甲公司預期租約期滿時該汽車之殘值較甲公司保證金額少$70,000","租約期滿時該汽車之估計殘值為$70,000，全數由甲公司保證","甲公司估計租約期滿時該汽車之殘值為$70,000",B
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,22,"甲公司於X1年1月1日以現金$1,800,000 購入機器一部，估計耐用年限 5年，殘值$200,000。帳上 採年數合計法提列折舊，報稅則以直線法提列折舊。X4 年1月1日該公司決定改用直線法提列折 舊，報稅則仍使用直線法，殘值不變。假設公司所得稅之稅率為 20%，且無其他暫時性差異，則該 公司X4年底資產負債表中所得稅相關項目之餘額為何？","遞延所得稅資產$32,000","遞延所得稅負債$42,666","遞延所得稅資產$64,000","遞延所得稅負債$64,000",A
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,23,"甲公司編製年底銀行調節表上的相關金額如下：現金帳上餘額$24,600，銀行存款餘額$23,760，銀行 代收票據$3,600，銀行扣手續費$120，在途存款$11,280，則未兌現支票金額為何？","$5,400","$5,520","$6,960","$14,400",C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,24,"甲公司X1年底平均資產總額為$1,600,000，平均負債總額為$1,000,000，利息費用為$100,000，所得 稅率20%，已知甲公司 X1年之平均資產報酬率 10%，則平均權益報酬率為何？",15.20%,13.33%,10.56%,20.14%,B
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,25,"甲公司X1年平均應收帳款為$360,000，平均存貨為$150,000，X1 年銷貨收入為$3,600,000，銷貨毛 利為$900,000，若一年以 360天計算，則甲公司營業週期天數為多少天？",36天,56天,60天,96天,B
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,26,"甲公司於X1年度成立，X1年度淨利為$120,000，X1年底總資產為$1,200,000、流動負債為$150,000、 非流動負債為$450,000，假設無利息費用，則財務槓桿指數為何？",0.46,0.50,1.80,2.00,D
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,27,"甲公司經營買賣業，銷售商品單位價格為$60，每件商品進貨成本為$40，每件商品的變動銷售成本 為$12，固定成本為$3,200。下列何者方案可以降低甲公司損益兩平的銷貨金額？","降低每件商品的變動銷售成本$2、增加固定成本$1,000","降低每件商品的銷售價格$3、降低固定成本$1,000","提高每件商品的銷售價格$4、增加固定成本$1,000",降低每件商品的進貨成本$2、提高固定成本$800,C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,選擇題,28,"甲公司於X1年11月1 日出售一台機器給乙公司，該機器帳列成本$720,000，現金價為$1,029,087。 雙方約定之支付條件為乙公司於交易日當天支付現金$80,000，餘款自 X1 年12月1日起每月月初付 $40,000。乙公司之單獨融資交易利率為月息1%，該票據以月息1%折現之現值為$950,072。該票據 與機器現金價間之隱含利率為月息 1.1%，該票據以月息 1.1%折現之現值為$949,087。試問：甲公司 X1年度因本筆銷貨而認列之相關利益總計為何？","$309,087","$310,791","$328,769","$329,642",C
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,1,"乙公司於 X0年2月1日買入一公允價值為$7,350,000 之股票投資，並將該權益工具投資分類為透過 其他綜合損益按公允價值衡量之金融資產。於 X0年 12月1日，乙公司將該權益工具投資以公允價值 $7,500,000 出售。 乙公司另於 X0年12月1 日買入一公允價值為$10,000,000 之債務工具投資，並透過其他綜合損益按 公允價值衡量該債務工具。該工具之票面利率為 6%，合約期間為15年，有效利率為 6%。原始認列 時，乙公司判定該資產非屬購入或創始之信用減損金融資產。於 X0 年12月 31日（報導日），債務工 具之公允價值因市場利率變動已減少至$9,500,000。乙公司判定自原始認列後信用風險並未顯著增 加，而應按 12個月預期信用損失金額$300,000衡量預期信用損失。 試求：計算乙公司 X0年綜合損益表中，與該二筆金融資產投資相關產生之損益金額合計及綜合損益 總額合計。(10分)",,,,,
111 年第 1 次證券投資分析人員資格測驗試題,會計及財務分析,申論題,2,"甲公司於 X1年有下列特別股全年流通在外： (1)甲種特別股，面額合計$100,000，可賣回(puttable)且累積，股利率5%，積欠股利於贖回時須一併支 付。 (2)乙種特別股，面額合計$200,000，非累積，股利率 6%。 (3)丙種特別股，面額合計$400,000，累積，股利率 3%。 甲公司 X1年度之稅後淨利為$200,000。 甲公司於 X1年初有100,000 股流通在外之普通股，每股面額$10。X1年3月 1日辦理現金增資12,000 股，X1年5月1日買回庫藏股票 6,000股並辦理註銷，X1 年7月1日發放 20%股票股利，X1年12 月 1日減資96,000元。 試求：計算以下二情況下甲公司 X1年之基本每股盈餘。(計算至小數點以下 2位，四捨五入) (10分) 情況1：甲公司X1 年有宣告發放股利$24,000。 情況2：甲公司X1 年宣告不發放股利。",,,,,
